order_id,customer_id,order_date_fk,revenue
283477,K2750193095.0,20170524,49.61
310113,K2700797620.0,20170524,47.84
279083,K104634144.0,20170524,47.61
311970,K2738231600.0,20170524,44.88
283476,K141790599.0,20170524,44.87
279084,K3339657660.0,20170524,43.78
282669,K4285963401.0,20170524,43.27
283474,K2051939115.0,20170524,41.54
286699,K2463768486.0,20170524,39.70
285082,K3161486494.0,20170524,37.12
285863,K2949415432.0,20170524,35.41
284300,K3299271607.0,20170524,34.70
304991,K1242330550.0,20170524,33.90
279471,K2446877681.0,20170524,33.80
311283,K3176959565.0,20170524,32.19
283478,K1626234012.0,20170524,32.12
289014,K1408174585.0,20170524,31.12
279480,K579481134.0,20170524,28.85
304169,K4285661627.0,20170524,25.65
306546,K1718882788.0,20170524,25.57
305796,K3173571026.0,20170524,25.50
301761,K3295531701.0,20170524,25.50
289013,K836438253.0,20170524,25.44
310575,K1063921196.0,20170524,23.16
126883,K2486758548.0,20170524,22.70
304171,K2449609223.0,20170524,19.79
269718,K4199446739.0,20170524,18.00
126884,K2485856170.0,20170524,16.20
285083,K1982660944.0,20170524,15.03
301764,K3882576342.0,20170524,14.99
284302,K1428971570.0,20170524,14.99
304173,K1688747488.0,20170524,14.99
289017,K4257676847.0,20170524,14.97
291382,K667719246.0,20170524,14.95
126878,K1556281559.0,20170524,14.94
279481,K1660015371.0,20170524,14.88
289019,K791820863.0,20170524,13.98
269713,K4232869709.0,20170524,12.90
269712,K1300854468.0,20170524,3.90
269717,K3249091879.0,20170524,3.50
306547,K2338043505.0,20170525,144.99
283482,K2938647829.0,20170525,105.77
279469,K3802081175.0,20170525,98.89
310080,K4162199526.0,20170525,89.28
286703,K2924238804.0,20170525,82.78
300159,K4152585748.0,20170525,75.98
310230,K1827209758.0,20170525,56.01
282671,K756772479.0,20170525,54.89
310174,K3279192184.0,20170525,52.96
282672,K3902771646.0,20170525,52.83
283483,K2230533090.0,20170525,52.81
306548,K108057793.0,20170525,51.99
286704,K303667594.0,20170525,48.08
307321,K2537501796.0,20170525,47.19
283479,K2087370883.0,20170525,43.84
310242,K3324756871.0,20170525,41.33
285865,K143040805.0,20170525,39.63
283481,K1671459496.0,20170525,38.43
291384,K990761731.0,20170525,37.99
310595,K2850576064.0,20170525,36.85
310279,K159314086.0,20170525,34.92
280677,K3742034852.0,20170525,33.92
283480,K1914775239.0,20170525,31.76
289808,K3349157602.0,20170525,29.90
301768,K3015385879.0,20170525,29.90
291386,K1949868967.0,20170525,29.90
282673,K3132825445.0,20170525,29.80
279468,K367025782.0,20170525,23.69
126886,K663491948.0,20170525,22.70
284306,K1536891689.0,20170525,21.96
126885,K2733217253.0,20170525,20.00
292942,K1300107207.0,20170525,19.96
300157,K4209655223.0,20170525,19.79
284307,K4154565999.0,20170525,15.98
