customer_id,customer_type,primary_sales_channel,first_order_day_fk
K0167267,B2C,Offline,20170514
K0167268,B2C,Offline,20170514
K0167269,B2C,Offline,20170520
K0167270,B2C,Offline,20170520
K0167271,B2C,Offline,20170520
K0167272,B2C,Offline,20170520
K0167273,B2C,Offline,20170520
K0167275,B2C,Offline,20170520
K0167276,B2C,Offline,20170520
K0167277,B2C,Offline,20170520
K0167278,B2C,Offline,20170520
K0167279,B2C,Offline,20170520
K0167280,B2C,Offline,20170520
K0167281,B2C,Offline,20170520
K0167283,B2C,Offline,20170520
K0167287,B2C,Offline,20170520
K0167289,B2C,Offline,20170520
K0167290,B2C,Offline,20170520
K0167291,B2C,Offline,20170520
K0167292,B2C,Offline,20170520
K0167295,B2C,Offline,20170520
K0167296,B2C,Offline,20170521
K0167297,B2C,Offline,20170521
K0167298,B2C,Offline,20170521
K0167299,B2C,Offline,20170521
K0167300,B2C,Offline,20170521
K0167301,B2C,Offline,20170521
K0167305,B2C,Offline,20170521
K0167307,B2C,Offline,20170521
K0167308,B2C,Offline,20170521
K0167309,B2C,Offline,20170521
K0167311,B2C,Offline,20170521
K0167312,B2C,Offline,20170521
K0167313,B2C,Offline,20170521
K0167314,B2C,Offline,20170521
K0167317,B2C,Offline,20170521
K0167318,B2C,Offline,20170521
K0167319,B2C,Offline,20170521
K0167320,B2C,Offline,20170521
K0167321,B2C,Offline,20170521
K0167322,B2C,Offline,20170521
K0167323,B2C,Offline,20170521
K0167324,B2C,Offline,20170521
K0167325,B2C,Offline,20170521
K0167330,B2C,Offline,20170521
K0167331,B2C,Offline,20170521
K0167332,B2C,Offline,20170521
K0167333,B2C,Offline,20170521
K0167334,B2C,Offline,20170521
K0167336,B2C,Offline,20170521
K0167338,B2C,Offline,20170521
K0167341,B2C,Offline,20170527
K0167342,B2C,Offline,20170527
K0167343,B2C,Offline,20170527
K0167345,B2C,Offline,20170527
K0167347,B2C,Offline,20170527
K0167350,B2C,Offline,20170527
K0167351,B2C,Offline,20170527
K0167352,B2C,Offline,20170527
K0167356,B2C,Offline,20170527
K0167357,B2C,Offline,20170527
K0167358,B2C,Offline,20170527
K0167362,B2C,Offline,20170527
K0167363,B2C,Offline,20170527
K0167364,B2C,Offline,20170527
K0167366,B2C,Offline,20170527
K0167367,B2C,Offline,20170527
K0167371,B2C,Offline,20170527
K0167372,B2C,Offline,20170527
K0167373,B2C,Offline,20170527
K0167374,B2C,Offline,20170527
K0167375,B2C,Offline,20170528
K0167377,B2C,Offline,20170528
K0167378,B2C,Offline,20170528
K0167379,B2C,Offline,20170528
K0167380,B2C,Offline,20170528
K0167382,B2C,Offline,20170528
K0167383,B2C,Offline,20170528
K0167384,B2C,Offline,20170528
K0167385,B2C,Offline,20170528
K0167386,B2C,Offline,20170528
K0167387,B2C,Offline,20170528
K0167388,B2C,Offline,20170528
K0167389,B2C,Offline,20170528
K0167390,B2C,Offline,20170528
K0167391,B2C,Offline,20170528
K0167392,B2C,Offline,20170528
K0167393,B2C,Offline,20170528
K0167395,B2C,Offline,20170528
K0167396,B2C,Offline,20170528
K0167397,B2C,Offline,20170528
K0167399,B2C,Offline,20170528
K0167401,B2C,Offline,20170528
K0167402,B2C,Offline,20170528
K0167403,B2C,Offline,20170528
K0167407,B2C,Offline,20170528
K0167408,B2C,Offline,20170528
K0167409,B2C,Offline,20170528
K0167410,B2C,Offline,20170528
K0167411,B2C,Offline,20170528
K0167414,B2C,Offline,20170603
K0167415,B2C,Offline,20170603
K0167416,B2C,Offline,20170603
K0167417,B2C,Offline,20170603
K0167418,B2C,Offline,20170603
K0167419,B2C,Offline,20170603
K0167420,B2C,Offline,20170603
K0167421,B2C,Offline,20170603
K0167422,B2C,Offline,20170603
K0167428,B2C,Offline,20170610
K0167429,B2C,Offline,20170610
K0167433,B2C,Offline,20170610
K0167435,B2C,Offline,20170610
K0167437,B2C,Offline,20170610
K0167438,B2C,Offline,20170610
K0167439,B2C,Offline,20170610
K0167440,B2C,Offline,20170610
K0167441,B2C,Offline,20170610
